,content,rating
77, kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,1
78,haris i m trying to control my fat tummy did'nt eat from 2 days :D,1
79,700. you glutinous bitch!,1
80,Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),1
81,So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,1
82,lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,1
83,Have you tried 'fuck' and 'Fuck'? (yes  they are different),1
84,Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,1
85,damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,1
86,that sucks... she should prolly just change her major lol,1
87,that sucks... so are there plans to get back together? or are they done?,1
88,you are a fatty fat fat,1
89,you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,1
90,they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,1
91,no one likes every fat snack u do bitch! so shaddup ahahahahaha,1
92,stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,1
93,ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,1
94,'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!,1
95,OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),1
96,mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,1
97,"lol @ ""the bitch"". damn.",1
98,damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.,1
99,Slurpees are awesome. Damn  now I really really want one O.o,1
100,"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!",1
101,i loved it  i laughed my ass off,1
102,ahh  you might be on to something...damn techies,1
103,The pig of shame? Lol! Is that like the aardvark of discontent?,1
104,Still - it's damn moronic that media people can't access media - particularly media made by their own company!,1
105,if anyone said Arial I'm gonna beat their ass.,1
106,well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,1
107,Tell her she says Bitch like it's a bad thing,1
108,I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,1
109,Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,1
110,You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,1
111,Damn  you're totally geeking out on us tonite.,1
112,the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,1
113,we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,1
114,Let your hate for Gambit grow. Embrace it. Spread it.,1
115,dig deep and find that special Christmas hate!,1
116,I tried to rickroll my office christmas party last night but the damn band didn't know it!,1
117,even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,1
118,Smack a bitch? :-D,1
119,rock  not the. He gives the emo populists limp wrist rocker throw.,1
120,Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,1
121,i feel fucking great get me another drink,1
122,"You've got 5"" of snow?  Damn.  I'm jealous.",1
123,It just sucks that so many use it as a crutch.,1
124,They say I have the best ass this side of fourteenth street.,1
125,yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,1
126,ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,1
127,Fuck  amen to that,1
128,Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,1
129,I knw!!!!!  I hate that! D:,1
130,Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,1
131,yeah. i had to beg the stupid teacher. it was so gay.,1
132,yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,1
133,told ya she was fat! she's loyal tho  she has this goin for her...,1
134,if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,1
135,I have all th nerd at home and I'm a smart ass too. So I answered you,1
136,u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,1
137,you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,1
138,haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,1
139,and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,1
140,I like the verses to the song....just not that lame ass auto tuning nigga on the hook,1
141,hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,1
142,way to damn hard,1
143,"the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd""",1
144,but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,1
145,DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,1
146,No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,1
147,it was a joke haha. i figured id be emo too since everyone is complaining on here,1
148,It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,1
149,o so the rumors are true i am OBESE! yea fat!,1
150,girlfriend where the fuck did u find that photo! lmao!,1
151,ur a damn fool lmao,1
152,They're not my preference  but the app is so damn fast and thorough that I let it slide.,1
153, Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),1
154,Tell them you want YouTube to quit fucking with things that no one wants fucked with.,1
155,No  you just piss out anything your body won't absorb.,1
156,Doh! dont you hate it when that happens  I keep meaning to take a backup myself,1
157,Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,1
158,Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold,1
159,"hate text talking""",1
160,: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,1
161,less #damn-fridays  more #bad_wookie_pun,1
162,women are fucking disgusting.,1
163,you bet your sweet ass you will!,1
164,dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,1
165, will do when i get home  only time i heard it was warped though  fuck life!,1
166,Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,1
167,i got ur ticks  but yo ass ain't gonna come! lol,1
168,Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,1
169,stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),1
170,"Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)",1
171,gee  i'd hate to see what you say about the family ;),1
172,dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,1
173,damn fine! The snow is gone thank god!,1
174,That sucks.  Life can't really be that bad  right?  Chocolate does always help.,1
175,i hate you :P happy birthday dude  good to know your enjoying it,1
176,thats a good question.  most lawyers HATE that stuff.,1
177,YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,1
178,oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,1
179,ummm. Ya. That's pretty damn pimp.,1
180,as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,1
181,got delayed.  your ass kicking will have to wait.,1
182,I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?,1
183,it was just a joke man..i wasnt taking the piss out of anything.,1
184,i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,1
185,i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,1
186,I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,1
187,"Are you laughing your ass off with all these ""juicy"" twits?",1
188,yeah we do... damn this time difference *HUGS*,1
189,OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,1
190,hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,1
191,yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,1
192,wow - mommy's little cheerleader! *must... not... take... the...piss......*,1
193,lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,1
194,oh hot damn!,1
195,He can't hear you  his head's too far up his own ass.,1
196,Prison Bitch is a sparkling addition to any resume.,1
197,a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),1
198,that sucks that you're sick. Sorry to hear that.,1
199,No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),1
200,try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,1
201,Football. I hate it. It&#8217;s official  I&#8217;m bad luck.,1
202,I fucking love Haunted.,1
203,I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,1
204,lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.,1
205,Yea it sucks!!,1
206,Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,1
207,yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,1
208,hot damn! did you get an iPhone too?,1
209,aw  thanks. it's going better than yesterday  that's for damn sure. :-D,1
210,no. i must have missed that one. damn. ;-),1
211,have a safe flight.....damn now you make me want some jamba juice,1
212,I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,1
213,http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,1
214,him and his damn tech stuff bwahaha,1
215,i'm not emo. I'm fucking happy!,1
216,well now I have to edit myself and you know how I hate that!,1
217,if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,1
218,what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,1
219,& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,1
220,you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,1
221,i get that ha ha smart ass :p,1
222,i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,1
223,Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,1
224,Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,1
225,yea the weather sucks. At least you missed the 8 degree weather though lol.,1
226,I do  but I'm an American. Hence  I'm a pussy.,1
227,God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,1
228,I take full pride in being a nerd. Hahah.,1
229,THAT'S AN UGLY ASS PICTURE!,1
230,Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,1
231,My grandmother is a big bitch and my father's a fraking arsehole.,1
232,you must be bored...you are a twitter whore today. ;),1
233,man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,1
234,just don't eat a meal replacement bar.. I fucking threw up!!,1
235,fuck duke!,1
236,"what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this",1
237,2 weeks? how am I gonna live without money for 2 fucking weeks?,1
238,Well get your ass busy!,1
239,Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,1
240,damn that sucks..I hope you are ok now,1
241,haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,1
242,Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?,1
243,"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?",1
244,Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you,1
245,Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.,1
246,Fuck again. Call 1800QZAK. Then your problems will be solved. I might even get you a discount,1
247,If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know,1
248,you're a fucking maniac.,1
249,its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.,1
250,HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:,1
251,FUCK SUNDAY im super bummed.,1
252,whelchers fuckin suck ass!,1
253,some peoples drama just sucks!,1
254,well that sux donkey dick. No interwebs is kinda a pain for ur work.,1
255,Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.,1
256,today feels like sunday.....damn lol,1
257,Damn didnt even see that lol  : /,1
258,HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol,1
259,i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!,1
260,don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.,1
261,i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.,1
262,i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,1
263,no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.,1
264,here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!,1
265,no i think you will hate it. Its a bunch of dirty work.,1
266,the iced media party. Long ass day at the office  time for a drink or 3,1
267,easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first,1
268,@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...,1
269,LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!,1
270,You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL,1
271,@mekdot yo...heroes sucks!!! I loved season 1  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!,1
272,That sucks  they owe you much?,1
273,Boo  to be fair they shouldn't give away your room. Kick their ass!,1
274,Wow  that's bad-ass. You're like Stanley now. Well  even more so...,1
275,lol figured. So anyway  anna is still being a bitch(sorry for the language) She doesnt want to go on the trip. So now onto plan B,1
276,anna just has to ruin the holidays for me  just like every year. Damn you anna!,1
277,rock out with ur cock out dude!!!,1
278,that's a shame  I hate having to unfollow someone! :-P,1
279,BIG FAT HARD HAWAIIAN DICK. Too much?,1
280, i hate that too - i have blocked a few of stalker / serial networkers on fb too.  maybe they should tweet first?,1
281,LOL - nah  that's just what we tell the loser guests that we usually toss down in the newsroom!! oh  wait...,1
282,Israelis to Spanish FM ... Kiss my ass.,1
283,No  but I'm saying that money that has gone into Gaza SHOULD be feeding people  not waging war and breding hate.,1
284,I had a dream involving a rhino chasing me because of my polo cologne. Everyone says it represents a fat woman. My life sucks.,1
285,Taking the piss = talking trash  perhaps,1
286,& @babysinead that dude is a fucking PSYCHO. i turned down working for him and he told ppl that I DID and that i was TROUBLE.,1
287,& @babysinead i've never even met him in person. he's a fucking douche.,1
288,I get that too! It sucks!,1
289,hey fag why you gotta ask the whole world!? j/k your awesome,1
290,gotta love the gay kid who was drumming trying to get his head in the pic tho HAHA,1
291,Sheeyat....Freezing rain is no punk. Hope you didn't fall & bust your ass in the parking lot.... I almost did.,1
292,Damn skippy. I should be dead 10 times over......,1
293,Its foggy as hell here too. Looks like damn Seattle.,1
294,lol penelope died?? thats so depressive  i have a compaq it sucks  i dont have a name for my computer tho : ),1
295,Do you really have a big man ass?,1
296,i don't know that bambi's ass is a nice place. LOL,1
297,attention whore!,1
298,I laughed so hard when I first heard because my gay husband (good friend  lol) says code 3 when he has an emergency,1
299,http://twitpic.com/xipq - this only makes me hate having a verizon contract even more.  erg.,1
300,no guarantees.  hate the place. I'm ust going there to make sure my parents are still alive.,1
301,AWWWW I HATE THAT!!!! I had to buy that gadget you can stick your hard drive into to pull them off. SO SUCKS! Sorry. :0(,1
302,Praying for your grandmother and your momma. I hate that they are facing so much.,1
303,bitch please your gorgeous,1
304,i fucking hate that word  hahaha.,1
305,i know  haha. 1408 is so gay. i don't even know why i'm watching it.,1
306,omg - that sucks arse! I am so sorry =/,1
307,Sounds like good times. I'm in the office until 7:00 and then I'll probably go for a run. I'm a fat boy getting fatter.,1
308,Ye Olde Cock looks nice.,1
309,sure you can  I'll hide the flashlight. go emo go!,1
310,emang lagu2nya emo? bukannya mellow? :D,1
311,gitu emo jaman dulu ya :D,1
312,Listen  RayRay  I gave you the lowdown as soon as I got it. I hadn't heard it b4 and I was shocked. She seems to hate his guts.,1
313,I thinks you meant to say that TWILIGHT was epic fail  not your mistake. I hate stephanie meyer and I've never even met her.,1
314,lawl. Sucks to be THEM  then.,1
315,I'd die first. Damn fareway.,1
316,LMAO! He's horrible. The Beatles changed the fucking WORLD! And are still an icon to this day. Who the fuck are you?!?!?,1
317,I need to see how this ravin rabids game works first. It'd all have to be in the ass moving. Maybe not moving enough = bad oral?,1
318,holy fucking jesus mother  gad damnit WTF? wow.,1
319,really? Thank fucking god for sleeping pills!,1
320,dude  that pic of you in the Gold 2009 flyer looks like a friggen glamour shot  fag. hearts!,1
321,Eff yeah! give @jeffreyparadise and @richiepanic a slap on the ass for me,1
322,you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready,1
323,I hate to open the flue after a long fall. We get birds or dead squirrels...totally scary!!!!!,1
324,depends on how much you hate fighting w/your light. I read in the car a lot while hub drives  so very worth it to me.,1
325,he won't wanna pet the guinea pig?,1
326,i'd love to visit (or live) in san diego cause of yr round warm weather. i hate cold so bad. crowds n traf would b my probs there,1
327,no prob  but watch out  it's fucking addictive!,1
328,re:fuck the creative industries blog post (at squares of wheat):I say:Waaaay too much empty rhetoric there. Be the Change ?,1
329,Did...I mention that among my new disciplines are Dementation  Dominate  Presence  and Obtenebration?  I am fucking AWESOME.,1
330,I *really* hate housework! Then again  it was great waking up to a clean LR & kitchen! Maybe I should do it more often... :-),1
331,I've been wondering that myself. Its been down for quite a damn long time... @tqbf any comment on that?,1
332,well damn we should have had a tweet up. I was at Kona last night as well.,1
333,ouch! Hope your alright! :S I hate Black Ice  Almost broke my arm on it the other week :P,1
334,eeeeew  I wanna cum ;),1
335, AAYE!!!  richard gre is NOT gay-re :P,1
336,fuck yeah bra,1
337,nope can't deny that sweet face or lil schnauzer w/ ears~always wished Hildie had her pig tails~how is cropping still happening?,1
338,Hey~~Happy New Year new friend !! enjoy the movie~ think of me when the crazy proff shows up..damn...can't remember his name,1
339,#NAME?,1
340, GOOD! Now u can bring ur happy lil' ass over here & help me finish hanging this garland.  ;-),1
341,Guess there wont be much skidding then. As is said hope you're on the ground floor or everyone will hate Green Grass and High Tides.,1
342,The FA50 is a low key ultra here in ATL. It stands for Fat Ass 50K. Loop course  so you could do 25K...Half Ass.,1
343, me too!!! I also hate closing then opening then closing shifts that gets me all out of wack.,1
344,"says ""no more pizzas for the situation room! or else we will be fat when the war is over...""",1
345,hangs longer than u while u lay there on ur ass! 1 day u gonna look back @ these days & ask urself where did ur life go?,1
346,I slept horribly. Kepted waking up every hour. Kept tossing and turning. Argh I hate having to work today! Time for cardio!,1
347,if you can get me a signed copy of Jordan's book....we'll pull some qoutes during shows.  That guy kicks ass muchos muchos  wow,1
348,wErd... you pick out (2) kick ass hip hop songs and we'll doit yo~,1
349,hola! Orli ... we are www.LuckyStartups.com looking to interview some kick ass peeps in Israel... you up to it?,1
350,yeah  I did that a few months ago. How's your show doing man?? looks kick ass!,1
351,Thinking about response/actions. Have decided its not going 2b ideal 4 anyone. Its sticky bc its family. Theres love/hate/dislike,1
352,Not talking about incident but more so the attitude that I'm gonna bitch & make a comp do something on a subjective matter.,1
353,she doesnt want to scar you for life like i could.  cant talk her into sending you the video of they guy with the jar in his ass.,1
354,when can I meet your uncle??? Maybe he could give a wiki demo to our loser peeps!?,1
355,what a coincidence! I'm wearing my fat jeans today and it felt like they were my skinny jeans!,1
356,sucks  don't it?,1
357,doc's a dick.. ill manage without injuring myself.. self inflicted pain would be desperate..which I think I am.. Siiigghhh!!,1
358,Agreed!  Twitter showed the way with the whale ;),1
359,No- shopping isn't what sucks! It's the crowds that cause the trouble. haha! Love your website btw!!,1
360,FUCK YEAH BIOSHOCK! Tell me how the apartment hunt goes!,1
361,Merry Christmas to you too  Casey. For tomorrow. Er  or today. Grrr  damn time zones....,1
362,Are we going to see an appearance of the 'fuck me' boots? :P,1
363,Sounds more reasonable. I hate having to buy 8+ presents for my very small family alone. Soulless Myer gift cards FTW,1
364,Wtf. Fuck you,1
365,Lawlz. yr a bitch. hoe.,1
366,Sorry you bitch punched TEO.,1
367,oh no  I always try to make my desk look neat. Fail whale. There are always newspapers piling up  cables are worse!,1
368,Funny I always thought Job Security is dependent to how much ass you can kiss? (wait I guess they are one of the same if you think..),1
369,Oh I know. It doesn't hurt to have one of the richest woman in the world actually hate you. Elvis had the Memphis Mafia. Oprah...,1
370,Lol  I'm not enough of a LOTR nerd to need to install Tolkien fonts. :),1
371,it was a good show...dude!  Did you call in gay  rotfl,1
372,hmmm....or do they hate you because you didn't let them join in the parranda? Nah  probably the corp council thing,1
373,LOL Hon  I have been saying for a while now that this boy will be gay. It really bothers the hubs when I do  so Im tryin 2b good,1
374,"lol exactly. ""Hey guys  how about a 13-sided paralellogram? THAT'LL fuck em up!",1
375,Yeh  but every nerd like to think he/she is devastatingly good-looking  as revenge on those who snubbed them. Trust me  I kno,1
376,Gee  i might if the person running this hadn't been such a bitch to me. I'll focus my efforts elsewhere  thanks.,1
377,haha you'd think so right? I AM giving something away though i'm just surprised cause it's that high..my sqz  pg honestly sucks lol,1
378,heh i'm a thunking (friggin hate that word - 'thunking' how daft - anyway) - is it a CON?,1
379, i just fucking beat you!,1
380,HOLY FUCK! that was one tough fucking cow!,1
381,yeah i know but its also too bad about the children ya know BECAUsE I FUCKING WON!,1
382,Heh  his name's Jeremy (stupid little nerd  but he's up for any challenge.) And he's about to break  anyway.,1
383,hippies hate that stuff... too chemical-y. This is true when used in ENORMOUS amounts.,1
384,i have to go inside of you tomorrow. i hate myself every time i am in you. i feel cheap and dirty.,1
385,#NAME?,1
386,"(RT) Fat Bastard (my beagle) is writing his ""tail-all"" confessional diary about online dating...",1
